kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,3.525483,1.474975
saxpy,f32,1000,1,0,0,15.920635,0.326620
saxpy,f32,1000,2,0,0,16.177419,0.321436
saxpy,f32,1000,3,0,0,15.671875,0.331805
saxpy,f32,1000,4,0,0,16.177419,0.321436
saxpy,f32,1000,5,0,0,16.578512,0.313659
saxpy,f32,1000,6,0,0,15.795276,0.329212
saxpy,f32,1000,7,0,0,17.293103,0.300698
saxpy,f32,1000,8,0,0,16.177419,0.321436
saxpy,f32,1000,9,0,0,16.177419,0.321436
saxpy,f32,1000,10,0,0,16.048000,0.324028
saxpy,f32,1000,11,0,0,16.048000,0.324028
saxpy,f32,1000,12,0,0,16.442623,0.316251
saxpy,f32,1000,13,0,0,16.177419,0.321436
saxpy,f32,1000,14,0,0,15.920635,0.326620
saxpy,f32,1000,15,0,0,16.442623,0.316251
saxpy,f32,1000,16,0,0,16.716667,0.311067
saxpy,f32,1000,17,0,0,16.442623,0.316251
saxpy,f32,1000,18,0,0,16.048000,0.324028
saxpy,f32,1000,19,0,0,16.177419,0.321436
saxpy,f32,1393,0,0,0,0.246621,21.084957
saxpy,f32,1393,1,0,0,23.266667,0.223496
saxpy,f32,1393,2,0,0,20.379562,0.255158
saxpy,f32,1393,3,0,0,23.863248,0.217908
saxpy,f32,1393,4,0,0,0.249263,20.861461
saxpy,f32,1393,5,0,0,2.515315,2.067335
saxpy,f32,1393,6,0,0,1.307116,3.978223
saxpy,f32,1393,7,0,0,24.491228,0.212321
saxpy,f32,1393,8,0,0,24.278261,0.214183
saxpy,f32,1393,9,0,0,24.278261,0.214183
saxpy,f32,1393,10,0,0,23.266667,0.223496
saxpy,f32,1393,11,0,0,24.278261,0.214183
saxpy,f32,1393,12,0,0,24.068966,0.216046
saxpy,f32,1393,13,0,0,23.863248,0.217908
saxpy,f32,1393,14,0,0,23.462185,0.221633
saxpy,f32,1393,15,0,0,24.068966,0.216046
saxpy,f32,1393,16,0,0,24.278261,0.214183
saxpy,f32,1393,17,0,0,24.491228,0.212321
saxpy,f32,1393,18,0,0,23.661017,0.219771
saxpy,f32,1393,19,0,0,24.278261,0.214183
