kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,2.928467,2.390329
saxpy,f32,1000,1,0,0,4.457778,1.570289
saxpy,f32,1000,2,0,0,4.428256,1.580758
saxpy,f32,1000,3,0,0,4.477679,1.563310
saxpy,f32,1000,4,0,0,4.477679,1.563310
saxpy,f32,1000,5,0,0,4.477679,1.563310
saxpy,f32,1000,6,0,0,4.467706,1.566800
saxpy,f32,1000,7,0,0,4.153209,1.685444
saxpy,f32,1000,8,0,0,4.507865,1.552841
saxpy,f32,1000,9,0,0,4.497758,1.556331
saxpy,f32,1000,10,0,0,4.497758,1.556331
saxpy,f32,1000,11,0,0,4.518018,1.549352
saxpy,f32,1000,12,0,0,4.507865,1.552841
saxpy,f32,1000,13,0,0,4.497758,1.556331
saxpy,f32,1000,14,0,0,4.507865,1.552841
saxpy,f32,1000,15,0,0,4.467706,1.566800
saxpy,f32,1000,16,0,0,4.518018,1.549352
saxpy,f32,1000,17,0,0,4.477679,1.563310
saxpy,f32,1000,18,0,0,4.507865,1.552841
saxpy,f32,1000,19,0,0,4.507865,1.552841
saxpy,f32,1393,0,0,0,4.562092,1.534384
saxpy,f32,1393,1,0,0,4.592105,1.524355
saxpy,f32,1393,2,0,0,4.630182,1.511819
saxpy,f32,1393,3,0,0,4.622517,1.514327
saxpy,f32,1393,4,0,0,4.630182,1.511819
saxpy,f32,1393,5,0,0,4.630182,1.511819
saxpy,f32,1393,6,0,0,4.630182,1.511819
saxpy,f32,1393,7,0,0,4.607261,1.519341
saxpy,f32,1393,8,0,0,4.622517,1.514327
saxpy,f32,1393,9,0,0,4.630182,1.511819
saxpy,f32,1393,10,0,0,4.599671,1.521848
saxpy,f32,1393,11,0,0,4.607261,1.519341
saxpy,f32,1393,12,0,0,4.614876,1.516834
saxpy,f32,1393,13,0,0,4.599671,1.521848
saxpy,f32,1393,14,0,0,4.630182,1.511819
saxpy,f32,1393,15,0,0,4.630182,1.511819
saxpy,f32,1393,16,0,0,4.622517,1.514327
saxpy,f32,1393,17,0,0,4.637874,1.509312
saxpy,f32,1393,18,0,0,4.622517,1.514327
saxpy,f32,1393,19,0,0,4.607261,1.519341
saxpy,f32,1941,0,0,0,4.678700,1.496142
saxpy,f32,1941,1,0,0,4.707022,1.487140
saxpy,f32,1941,2,0,0,4.689988,1.492541
saxpy,f32,1941,3,0,0,4.712727,1.485340
saxpy,f32,1941,4,0,0,4.729927,1.479938
saxpy,f32,1941,5,0,0,4.729927,1.479938
saxpy,f32,1941,6,0,0,4.718447,1.483539
saxpy,f32,1941,7,0,0,4.712727,1.485340
saxpy,f32,1941,8,0,0,4.712727,1.485340
saxpy,f32,1941,9,0,0,4.724180,1.481739
saxpy,f32,1941,10,0,0,4.689988,1.492541
saxpy,f32,1941,11,0,0,4.707022,1.487140
saxpy,f32,1941,12,0,0,4.724180,1.481739
saxpy,f32,1941,13,0,0,4.724180,1.481739
saxpy,f32,1941,14,0,0,4.724180,1.481739
saxpy,f32,1941,15,0,0,4.729927,1.479938
saxpy,f32,1941,16,0,0,4.741463,1.476337
saxpy,f32,1941,17,0,0,4.712727,1.485340
saxpy,f32,1941,18,0,0,4.718447,1.483539
saxpy,f32,1941,19,0,0,4.729927,1.479938
saxpy,f32,2704,0,0,0,4.765845,1.468785
saxpy,f32,2704,1,0,0,4.778464,1.464906
saxpy,f32,2704,2,0,0,4.782686,1.463613
saxpy,f32,2704,3,0,0,4.795394,1.459734
saxpy,f32,2704,4,0,0,4.791150,1.461027
saxpy,f32,2704,5,0,0,4.795394,1.459734
saxpy,f32,2704,6,0,0,4.782686,1.463613
saxpy,f32,2704,7,0,0,4.791150,1.461027
saxpy,f32,2704,8,0,0,4.778464,1.464906
saxpy,f32,2704,9,0,0,4.782686,1.463613
saxpy,f32,2704,10,0,0,4.803904,1.457148
saxpy,f32,2704,11,0,0,4.803904,1.457148
saxpy,f32,2704,12,0,0,4.803904,1.457148
saxpy,f32,2704,13,0,0,4.808171,1.455855
saxpy,f32,2704,14,0,0,4.812444,1.454562
saxpy,f32,2704,15,0,0,4.799645,1.458441
saxpy,f32,2704,16,0,0,4.808171,1.455855
saxpy,f32,2704,17,0,0,4.778464,1.464906
saxpy,f32,2704,18,0,0,4.778464,1.464906
saxpy,f32,2704,19,0,0,4.770044,1.467492
saxpy,f32,3767,0,0,0,4.824056,1.451061
saxpy,f32,3767,1,0,0,4.830237,1.449204
saxpy,f32,3767,2,0,0,4.833333,1.448276
saxpy,f32,3767,3,0,0,4.836434,1.447347
saxpy,f32,3767,4,0,0,4.848875,1.443634
saxpy,f32,3767,5,0,0,4.848875,1.443634
saxpy,f32,3767,6,0,0,4.855119,1.441777
saxpy,f32,3767,7,0,0,4.858247,1.440849
saxpy,f32,3767,8,0,0,4.839538,1.446419
saxpy,f32,3767,9,0,0,4.842646,1.445491
saxpy,f32,3767,10,0,0,4.845758,1.444562
saxpy,f32,3767,11,0,0,4.848875,1.443634
saxpy,f32,3767,12,0,0,4.855119,1.441777
saxpy,f32,3767,13,0,0,4.861380,1.439920
saxpy,f32,3767,14,0,0,4.848875,1.443634
saxpy,f32,3767,15,0,0,4.851995,1.442706
saxpy,f32,3767,16,0,0,4.842646,1.445491
saxpy,f32,3767,17,0,0,4.845758,1.444562
saxpy,f32,3767,18,0,0,4.851995,1.442706
saxpy,f32,3767,19,0,0,4.861380,1.439920
saxpy,f32,5248,0,0,0,4.868799,1.437726
saxpy,f32,5248,1,0,0,4.859787,1.440392
saxpy,f32,5248,2,0,0,4.868799,1.437726
saxpy,f32,5248,3,0,0,4.891476,1.431061
saxpy,f32,5248,4,0,0,4.893756,1.430394
saxpy,f32,5248,5,0,0,4.873318,1.436393
saxpy,f32,5248,6,0,0,4.866543,1.438393
