kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,5.541436,1.263210
saxpy,f32,1000,1,0,0,19.861386,0.352443
saxpy,f32,1000,2,0,0,24.168675,0.289631
saxpy,f32,1000,3,0,0,26.051948,0.268694
saxpy,f32,1000,4,0,0,24.168675,0.289631
saxpy,f32,1000,5,0,0,24.765432,0.282652
saxpy,f32,1000,6,0,0,27.108108,0.258225
saxpy,f32,1000,7,0,0,18.747664,0.373380
saxpy,f32,1000,8,0,0,26.394737,0.265204
saxpy,f32,1000,9,0,0,24.765432,0.282652
saxpy,f32,1000,10,0,0,26.394737,0.265204
saxpy,f32,1000,11,0,0,26.051948,0.268694
saxpy,f32,1000,12,0,0,26.746667,0.261715
saxpy,f32,1000,13,0,0,23.600000,0.296610
saxpy,f32,1000,14,0,0,24.463415,0.286142
saxpy,f32,1000,15,0,0,27.108108,0.258225
saxpy,f32,1000,16,0,0,26.746667,0.261715
saxpy,f32,1000,17,0,0,26.746667,0.261715
saxpy,f32,1000,18,0,0,26.394737,0.265204
saxpy,f32,1000,19,0,0,26.746667,0.261715
saxpy,f32,1393,0,0,0,19.661972,0.356017
saxpy,f32,1393,1,0,0,23.661017,0.295845
saxpy,f32,1393,2,0,0,27.106796,0.258238
saxpy,f32,1393,3,0,0,27.920000,0.250716
saxpy,f32,1393,4,0,0,30.347826,0.230659
saxpy,f32,1393,5,0,0,30.021505,0.233166
saxpy,f32,1393,6,0,0,30.681319,0.228152
saxpy,f32,1393,7,0,0,31.022222,0.225645
saxpy,f32,1393,8,0,0,30.681319,0.228152
saxpy,f32,1393,9,0,0,30.681319,0.228152
saxpy,f32,1393,10,0,0,30.347826,0.230659
saxpy,f32,1393,11,0,0,30.347826,0.230659
saxpy,f32,1393,12,0,0,30.347826,0.230659
saxpy,f32,1393,13,0,0,26.846154,0.260745
saxpy,f32,1393,14,0,0,31.022222,0.225645
saxpy,f32,1393,15,0,0,30.347826,0.230659
saxpy,f32,1393,16,0,0,30.347826,0.230659
saxpy,f32,1393,17,0,0,30.021505,0.233166
saxpy,f32,1393,18,0,0,30.347826,0.230659
saxpy,f32,1393,19,0,0,30.021505,0.233166
saxpy,f32,1941,0,0,0,26.813793,0.261060
saxpy,f32,1941,1,0,0,27.971223,0.250257
saxpy,f32,1941,2,0,0,33.517241,0.208848
saxpy,f32,1941,3,0,0,33.808696,0.207047
saxpy,f32,1941,4,0,0,34.714286,0.201646
saxpy,f32,1941,5,0,0,34.105263,0.205247
saxpy,f32,1941,6,0,0,35.027027,0.199846
saxpy,f32,1941,7,0,0,34.407080,0.203447
saxpy,f32,1941,8,0,0,35.027027,0.199846
saxpy,f32,1941,9,0,0,35.027027,0.199846
saxpy,f32,1941,10,0,0,34.714286,0.201646
saxpy,f32,1941,11,0,0,34.714286,0.201646
saxpy,f32,1941,12,0,0,34.407080,0.203447
saxpy,f32,1941,13,0,0,34.714286,0.201646
saxpy,f32,1941,14,0,0,34.407080,0.203447
saxpy,f32,1941,15,0,0,35.027027,0.199846
saxpy,f32,1941,16,0,0,35.027027,0.199846
saxpy,f32,1941,17,0,0,34.714286,0.201646
saxpy,f32,1941,18,0,0,35.027027,0.199846
saxpy,f32,1941,19,0,0,34.714286,0.201646
saxpy,f32,2704,0,0,0,28.494737,0.245659
saxpy,f32,2704,1,0,0,32.812121,0.213336
saxpy,f32,2704,2,0,0,34.705128,0.201699
saxpy,f32,2704,3,0,0,36.093333,0.193942
saxpy,f32,2704,4,0,0,37.337931,0.187477
saxpy,f32,2704,5,0,0,35.385621,0.197820
saxpy,f32,2704,6,0,0,37.337931,0.187477
saxpy,f32,2704,7,0,0,35.854305,0.195235
saxpy,f32,2704,8,0,0,37.860140,0.184891
saxpy,f32,2704,9,0,0,37.860140,0.184891
saxpy,f32,2704,10,0,0,37.337931,0.187477
saxpy,f32,2704,11,0,0,37.860140,0.184891
saxpy,f32,2704,12,0,0,38.126761,0.183598
saxpy,f32,2704,13,0,0,35.385621,0.197820
saxpy,f32,2704,14,0,0,37.597222,0.186184
saxpy,f32,2704,15,0,0,38.126761,0.183598
saxpy,f32,2704,16,0,0,38.126761,0.183598
saxpy,f32,2704,17,0,0,37.860140,0.184891
saxpy,f32,2704,18,0,0,37.337931,0.187477
saxpy,f32,2704,19,0,0,35.854305,0.195235
saxpy,f32,3767,0,0,0,50.945946,0.137401
saxpy,f32,3767,1,0,0,57.121212,0.122546
saxpy,f32,3767,2,0,0,60.806452,0.115119
saxpy,f32,3767,3,0,0,62.314050,0.112334
saxpy,f32,3767,4,0,0,62.314050,0.112334
saxpy,f32,3767,5,0,0,62.314050,0.112334
saxpy,f32,3767,6,0,0,62.314050,0.112334
saxpy,f32,3767,7,0,0,61.803279,0.113263
saxpy,f32,3767,8,0,0,62.833333,0.111406
saxpy,f32,3767,9,0,0,61.803279,0.113263
saxpy,f32,3767,10,0,0,62.314050,0.112334
saxpy,f32,3767,11,0,0,62.314050,0.112334
saxpy,f32,3767,12,0,0,62.314050,0.112334
saxpy,f32,3767,13,0,0,62.314050,0.112334
saxpy,f32,3767,14,0,0,62.833333,0.111406
saxpy,f32,3767,15,0,0,62.833333,0.111406
saxpy,f32,3767,16,0,0,62.314050,0.112334
saxpy,f32,3767,17,0,0,62.314050,0.112334
saxpy,f32,3767,18,0,0,62.314050,0.112334
saxpy,f32,3767,19,0,0,61.803279,0.113263
saxpy,f32,5248,0,0,0,56.767568,0.123310
saxpy,f32,5248,1,0,0,63.265060,0.110646
saxpy,f32,5248,2,0,0,64.827160,0.107979
saxpy,f32,5248,3,0,0,64.827160,0.107979
saxpy,f32,5248,4,0,0,64.036585,0.109313
saxpy,f32,5248,5,0,0,63.648485,0.109979
saxpy,f32,5248,6,0,0,63.265060,0.110646
saxpy,f32,5248,7,0,0,66.050314,0.105980
saxpy,f32,5248,8,0,0,66.468354,0.105313
saxpy,f32,5248,9,0,0,66.050314,0.105980
saxpy,f32,5248,10,0,0,66.468354,0.105313
saxpy,f32,5248,11,0,0,64.036585,0.109313
saxpy,f32,5248,12,0,0,64.036585,0.109313
saxpy,f32,5248,13,0,0,63.648485,0.109979
saxpy,f32,5248,14,0,0,66.891720,0.104647
saxpy,f32,5248,15,0,0,66.468354,0.105313
saxpy,f32,5248,16,0,0,66.468354,0.105313
saxpy,f32,5248,17,0,0,66.050314,0.105980
saxpy,f32,5248,18,0,0,66.050314,0.105980
saxpy,f32,5248,19,0,0,66.050314,0.105980
saxpy,f32,7312,0,0,0,33.555046,0.208612
saxpy,f32,7312,1,0,0,43.671642,0.160287
saxpy,f32,7312,2,0,0,38.198433,0.183254
saxpy,f32,7312,3,0,0,48.283828,0.144976
saxpy,f32,7312,4,0,0,45.154321,0.155024
saxpy,f32,7312,5,0,0,45.015385,0.155502
saxpy,f32,7312,6,0,0,45.718750,0.153110
saxpy,f32,7312,7,0,0,48.283828,0.144976
saxpy,f32,7312,8,0,0,49.093960,0.142584
saxpy,f32,7312,9,0,0,47.654723,0.146890
saxpy,f32,7312,10,0,0,47.967213,0.145933
saxpy,f32,7312,11,0,0,49.761905,0.140670
saxpy,f32,7312,12,0,0,48.766667,0.143541
saxpy,f32,7312,13,0,0,48.604651,0.144019
saxpy,f32,7312,14,0,0,48.443709,0.144498
saxpy,f32,7312,15,0,0,48.766667,0.143541
saxpy,f32,7312,16,0,0,48.283828,0.144976
saxpy,f32,7312,17,0,0,46.006289,0.152153
saxpy,f32,7312,18,0,0,46.741214,0.149761
saxpy,f32,7312,19,0,0,48.766667,0.143541
saxpy,f32,10186,0,0,0,31.302611,0.223624
saxpy,f32,10186,1,0,0,36.195382,0.193395
saxpy,f32,10186,2,0,0,38.018657,0.184120
saxpy,f32,10186,3,0,0,37.597786,0.186181
saxpy,f32,10186,4,0,0,33.627063,0.208166
saxpy,f32,10186,5,0,0,38.667932,0.181029
saxpy,f32,10186,6,0,0,37.118397,0.188586
saxpy,f32,10186,7,0,0,37.254113,0.187899
saxpy,f32,10186,8,0,0,37.528545,0.186525
saxpy,f32,10186,9,0,0,37.597786,0.186181
saxpy,f32,10186,10,0,0,36.916667,0.189616
saxpy,f32,10186,11,0,0,37.322344,0.187555
