kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,1000,0,1.990050,2.613000
saxpy,f32,1000,1,10.526316,0.494000
saxpy,f32,1000,2,9.852217,0.527800
saxpy,f32,1000,3,12.269939,0.423800
saxpy,f32,1000,4,10.101010,0.514800
saxpy,f32,1000,5,13.793103,0.377000
saxpy,f32,1000,6,12.658228,0.410800
saxpy,f32,1000,7,12.738854,0.408200
saxpy,f32,1000,8,12.269939,0.423800
saxpy,f32,1000,9,4.975124,1.045200
saxpy,f32,1393,0,4.730051,1.099354
saxpy,f32,1393,1,9.775439,0.531945
saxpy,f32,1393,2,9.444068,0.550610
saxpy,f32,1393,3,10.057762,0.517014
saxpy,f32,1393,4,9.809859,0.530079
saxpy,f32,1393,5,9.104575,0.571141
saxpy,f32,1393,6,9.879433,0.526346
saxpy,f32,1393,7,9.914591,0.524480
saxpy,f32,1393,8,10.130909,0.513281
saxpy,f32,1393,9,9.950000,0.522613
saxpy,f32,1941,0,12.246057,0.424626
saxpy,f32,1941,1,15.046512,0.345595
saxpy,f32,1941,2,13.249147,0.392478
saxpy,f32,1941,3,15.909836,0.326842
saxpy,f32,1941,4,16.732759,0.310768
saxpy,f32,1941,5,16.310924,0.318805
saxpy,f32,1941,6,17.408072,0.298712
saxpy,f32,1941,7,17.408072,0.298712
saxpy,f32,1941,8,15.653226,0.332200
saxpy,f32,1941,9,16.449153,0.316126
saxpy,f32,2704,0,11.150515,0.466346
saxpy,f32,2704,1,16.387879,0.317308
saxpy,f32,2704,2,16.240240,0.320192
saxpy,f32,2704,3,15.064067,0.345192
saxpy,f32,2704,4,17.006289,0.305769
saxpy,f32,2704,5,13.353086,0.389423
saxpy,f32,2704,6,15.495702,0.335577
saxpy,f32,2704,7,14.382979,0.361538
saxpy,f32,2704,8,16.289157,0.319231
saxpy,f32,2704,9,15.106145,0.344231
saxpy,f32,3767,0,9.721290,0.534908
saxpy,f32,3767,1,11.680620,0.445182
saxpy,f32,3767,2,12.171244,0.427237
saxpy,f32,3767,3,12.747885,0.407911
saxpy,f32,3767,4,12.535774,0.414813
saxpy,f32,3767,5,12.683502,0.409981
saxpy,f32,3767,6,12.834753,0.405150
saxpy,f32,3767,7,12.967298,0.401009
saxpy,f32,3767,8,12.598662,0.412742
saxpy,f32,3767,9,12.662185,0.410672
saxpy,f32,5248,0,12.362780,0.420617
saxpy,f32,5248,1,12.450771,0.417645
saxpy,f32,5248,2,12.510131,0.415663
saxpy,f32,5248,3,12.465558,0.417149
saxpy,f32,5248,4,12.722424,0.408727
saxpy,f32,5248,5,12.661037,0.410709
saxpy,f32,5248,6,12.784409,0.406745
saxpy,f32,5248,7,12.540024,0.414672
saxpy,f32,5248,8,12.585132,0.413186
saxpy,f32,5248,9,12.661037,0.410709
saxpy,f32,7312,0,11.803067,0.440563
saxpy,f32,7312,1,14.102218,0.368736
saxpy,f32,7312,2,13.692884,0.379759
saxpy,f32,7312,3,17.044289,0.305088
saxpy,f32,7312,4,17.619277,0.295131
saxpy,f32,7312,5,14.609391,0.355935
saxpy,f32,7312,6,0.143829,36.153939
saxpy,f32,7312,7,16.070330,0.323578
saxpy,f32,7312,8,16.431461,0.316466
saxpy,f32,7312,9,17.534772,0.296554
saxpy,f32,10186,0,10.994064,0.472983
saxpy,f32,10186,1,11.199560,0.464304
saxpy,f32,10186,2,11.607977,0.447968
saxpy,f32,10186,3,11.892586,0.437247
saxpy,f32,10186,4,12.272289,0.423719
saxpy,f32,10186,5,12.033077,0.432142
saxpy,f32,10186,6,12.040189,0.431887
saxpy,f32,10186,7,12.025974,0.432397
saxpy,f32,10186,8,12.176928,0.427037
saxpy,f32,10186,9,14.276104,0.364245
saxpy,f32,14191,0,13.995069,0.371559
saxpy,f32,14191,1,14.906513,0.348841
saxpy,f32,14191,2,15.193790,0.342245
saxpy,f32,14191,3,15.008990,0.346459
saxpy,f32,14191,4,15.935991,0.326305
saxpy,f32,14191,5,15.855866,0.327954
saxpy,f32,14191,6,16.172080,0.321542
saxpy,f32,14191,7,16.098695,0.323008
