kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,1000,0,1.142857,4.550000
saxpy,f32,1000,1,2.190581,2.373800
saxpy,f32,1000,2,2.364066,2.199600
saxpy,f32,1000,3,1.745201,2.979600
saxpy,f32,1000,4,2.409639,2.158000
saxpy,f32,1000,5,2.450980,2.121600
saxpy,f32,1000,6,1.872659,2.776800
saxpy,f32,1000,7,2.032520,2.558400
saxpy,f32,1000,8,1.998002,2.602600
saxpy,f32,1000,9,2.014099,2.581800
saxpy,f32,1393,0,2.218153,2.344293
saxpy,f32,1393,1,2.696999,1.928069
saxpy,f32,1393,2,2.960680,1.756353
saxpy,f32,1393,3,2.951271,1.761953
saxpy,f32,1393,4,2.957537,1.758220
saxpy,f32,1393,5,2.951271,1.761953
saxpy,f32,1393,6,2.957537,1.758220
saxpy,f32,1393,7,2.951271,1.761953
saxpy,f32,1393,8,2.945032,1.765686
saxpy,f32,1393,9,2.945032,1.765686
saxpy,f32,1941,0,2.981567,1.744049
saxpy,f32,1941,1,3.002320,1.731994
saxpy,f32,1941,2,3.006971,1.729315
saxpy,f32,1941,3,3.013975,1.725296
saxpy,f32,1941,4,3.025721,1.718599
saxpy,f32,1941,5,3.030445,1.715920
saxpy,f32,1941,6,3.025721,1.718599
saxpy,f32,1941,7,3.028081,1.717259
saxpy,f32,1941,8,3.023364,1.719938
saxpy,f32,1941,9,3.021012,1.721278
saxpy,f32,2704,0,2.929577,1.775000
saxpy,f32,2704,1,3.062288,1.698077
saxpy,f32,2704,2,3.053642,1.702885
saxpy,f32,2704,3,3.057094,1.700962
saxpy,f32,2704,4,3.064023,1.697115
saxpy,f32,2704,5,3.072727,1.692308
saxpy,f32,2704,6,3.077974,1.689423
saxpy,f32,2704,7,3.069240,1.694231
saxpy,f32,2704,8,3.062288,1.698077
saxpy,f32,2704,9,3.060555,1.699038
saxpy,f32,3767,0,3.041583,1.709636
saxpy,f32,3767,1,3.047735,1.706185
saxpy,f32,3767,2,3.101688,1.676507
saxpy,f32,3767,3,3.108086,1.673055
saxpy,f32,3767,4,3.105523,1.674436
saxpy,f32,3767,5,3.099136,1.677887
