kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,1.441092,2.081755
saxpy,f32,1000,1,0,0,2.166307,1.384845
saxpy,f32,1000,2,0,0,2.523270,1.188933
saxpy,f32,1000,3,0,0,1.823636,1.645065
saxpy,f32,1000,4,0,0,2.595084,1.156032
saxpy,f32,1000,5,0,0,2.449328,1.224826
saxpy,f32,1000,6,0,0,2.649934,1.132104
saxpy,f32,1000,7,0,0,2.292571,1.308574
saxpy,f32,1000,8,0,0,2.565217,1.169492
saxpy,f32,1000,9,0,0,2.703504,1.109671
saxpy,f32,1000,10,0,0,2.532828,1.184447
saxpy,f32,1000,11,0,0,2.122751,1.413260
saxpy,f32,1000,12,0,0,1.859129,1.613659
saxpy,f32,1000,13,0,0,1.988107,1.508973
saxpy,f32,1000,14,0,0,2.116034,1.417747
saxpy,f32,1000,15,0,0,2.385256,1.257727
saxpy,f32,1000,16,0,0,2.173348,1.380359
saxpy,f32,1000,17,0,0,2.732970,1.097707
saxpy,f32,1000,18,0,0,1.905033,1.574776
saxpy,f32,1000,19,0,0,2.467405,1.215852
saxpy,f32,1393,0,0,0,2.875386,1.043338
saxpy,f32,1393,1,0,0,3.119553,0.961676
saxpy,f32,1393,2,0,0,3.133558,0.957378
saxpy,f32,1393,3,0,0,3.144144,0.954155
saxpy,f32,1393,4,0,0,3.144144,0.954155
saxpy,f32,1393,5,0,0,3.147689,0.953080
saxpy,f32,1393,6,0,0,3.147689,0.953080
saxpy,f32,1393,7,0,0,3.137079,0.956304
saxpy,f32,1393,8,0,0,3.130045,0.958453
saxpy,f32,1393,9,0,0,3.130045,0.958453
saxpy,f32,1393,10,0,0,3.126540,0.959527
saxpy,f32,1393,11,0,0,3.144144,0.954155
saxpy,f32,1393,12,0,0,3.078280,0.974570
saxpy,f32,1393,13,0,0,3.130045,0.958453
saxpy,f32,1393,14,0,0,3.119553,0.961676
saxpy,f32,1393,15,0,0,3.151242,0.952006
saxpy,f32,1393,16,0,0,3.158371,0.949857
saxpy,f32,1393,17,0,0,3.147689,0.953080
saxpy,f32,1393,18,0,0,3.144144,0.954155
saxpy,f32,1393,19,0,0,3.133558,0.957378
saxpy,f32,1941,0,0,0,2.958904,1.013889
saxpy,f32,1941,1,0,0,3.197368,0.938272
saxpy,f32,1941,2,0,0,3.186885,0.941358
saxpy,f32,1941,3,0,0,3.221210,0.931327
saxpy,f32,1941,4,0,0,3.197368,0.938272
saxpy,f32,1941,5,0,0,3.205276,0.935957
saxpy,f32,1941,6,0,0,3.205276,0.935957
saxpy,f32,1941,7,0,0,3.213223,0.933642
saxpy,f32,1941,8,0,0,3.205276,0.935957
saxpy,f32,1941,9,0,0,3.218543,0.932099
saxpy,f32,1941,10,0,0,3.215881,0.932870
saxpy,f32,1941,11,0,0,3.207921,0.935185
saxpy,f32,1941,12,0,0,3.210570,0.934414
saxpy,f32,1941,13,0,0,3.200000,0.937500
saxpy,f32,1941,14,0,0,3.202636,0.936728
saxpy,f32,1941,15,0,0,3.207921,0.935185
saxpy,f32,1941,16,0,0,3.202636,0.936728
saxpy,f32,1941,17,0,0,3.213223,0.933642
saxpy,f32,1941,18,0,0,3.171289,0.945988
saxpy,f32,1941,19,0,0,3.213223,0.933642
saxpy,f32,2704,0,0,0,3.173505,0.945327
saxpy,f32,2704,1,0,0,3.241916,0.925379
saxpy,f32,2704,2,0,0,3.230310,0.928703
saxpy,f32,2704,3,0,0,3.251652,0.922608
saxpy,f32,2704,4,0,0,3.265380,0.918729
saxpy,f32,2704,5,0,0,3.261446,0.919837
saxpy,f32,2704,6,0,0,3.257521,0.920946
saxpy,f32,2704,7,0,0,3.259482,0.920392
saxpy,f32,2704,8,0,0,3.251652,0.922608
saxpy,f32,2704,9,0,0,3.255562,0.921500
saxpy,f32,2704,10,0,0,3.261446,0.919837
saxpy,f32,2704,11,0,0,3.261446,0.919837
saxpy,f32,2704,12,0,0,3.253606,0.922054
saxpy,f32,2704,13,0,0,3.253606,0.922054
saxpy,f32,2704,14,0,0,3.249700,0.923162
saxpy,f32,2704,15,0,0,3.253606,0.922054
saxpy,f32,2704,16,0,0,3.257521,0.920946
saxpy,f32,2704,17,0,0,3.251652,0.922608
saxpy,f32,2704,18,0,0,3.261446,0.919837
saxpy,f32,2704,19,0,0,3.265380,0.918729
saxpy,f32,3767,0,0,0,3.154812,0.950928
saxpy,f32,3767,1,0,0,3.285403,0.913130
saxpy,f32,3767,2,0,0,3.285403,0.913130
saxpy,f32,3767,3,0,0,3.288269,0.912334
saxpy,f32,3767,4,0,0,3.295455,0.910345
saxpy,f32,3767,5,0,0,3.298338,0.909549
saxpy,f32,3767,6,0,0,3.296895,0.909947
saxpy,f32,3767,7,0,0,3.285403,0.913130
saxpy,f32,3767,8,0,0,3.286835,0.912732
saxpy,f32,3767,9,0,0,3.291139,0.911538
saxpy,f32,3767,10,0,0,3.299781,0.909151
saxpy,f32,3767,11,0,0,3.291139,0.911538
saxpy,f32,3767,12,0,0,3.292576,0.911141
saxpy,f32,3767,13,0,0,3.291139,0.911538
saxpy,f32,3767,14,0,0,3.301226,0.908753
saxpy,f32,3767,15,0,0,3.301226,0.908753
saxpy,f32,3767,16,0,0,3.295455,0.910345
saxpy,f32,3767,17,0,0,3.291139,0.911538
saxpy,f32,3767,18,0,0,3.296895,0.909947
saxpy,f32,3767,19,0,0,3.304119,0.907958
saxpy,f32,5248,0,0,0,3.263518,0.919253
saxpy,f32,5248,1,0,0,3.310845,0.906113
saxpy,f32,5248,2,0,0,3.322366,0.902971
saxpy,f32,5248,3,0,0,3.319216,0.903828
saxpy,f32,5248,4,0,0,3.318167,0.904114
saxpy,f32,5248,5,0,0,3.307717,0.906970
saxpy,f32,5248,6,0,0,3.321316,0.903257
