kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,1000,0,0,0,2.204396,1.360917
saxpy,f32,1000,1,0,0,7.960317,0.376869
saxpy,f32,1000,2,0,0,12.084337,0.248255
saxpy,f32,1000,3,0,0,10.080402,0.297607
saxpy,f32,1000,4,0,0,12.231707,0.245264
saxpy,f32,1000,5,0,0,11.940476,0.251246
saxpy,f32,1000,6,0,0,12.616352,0.237787
saxpy,f32,1000,7,0,0,12.084337,0.248255
saxpy,f32,1000,8,0,0,12.616352,0.237787
saxpy,f32,1000,9,0,0,12.616352,0.237787
saxpy,f32,1000,10,0,0,12.616352,0.237787
saxpy,f32,1000,11,0,0,12.777070,0.234796
saxpy,f32,1000,12,0,0,12.382716,0.242273
saxpy,f32,1000,13,0,0,13.111111,0.228814
saxpy,f32,1000,14,0,0,12.858974,0.233300
saxpy,f32,1000,15,0,0,12.696203,0.236291
saxpy,f32,1000,16,0,0,12.382716,0.242273
saxpy,f32,1000,17,0,0,12.382716,0.242273
saxpy,f32,1000,18,0,0,12.231707,0.245264
saxpy,f32,1000,19,0,0,11.869822,0.252742
saxpy,f32,1393,0,0,0,5.132353,0.584527
saxpy,f32,1393,1,0,0,8.590769,0.349212
saxpy,f32,1393,2,0,0,12.086580,0.248209
saxpy,f32,1393,3,0,0,12.086580,0.248209
saxpy,f32,1393,4,0,0,11.489712,0.261103
saxpy,f32,1393,5,0,0,11.489712,0.261103
saxpy,f32,1393,6,0,0,11.489712,0.261103
saxpy,f32,1393,7,0,0,11.489712,0.261103
saxpy,f32,1393,8,0,0,11.442623,0.262178
saxpy,f32,1393,9,0,0,11.442623,0.262178
saxpy,f32,1393,10,0,0,11.395918,0.263252
saxpy,f32,1393,11,0,0,11.442623,0.262178
saxpy,f32,1393,12,0,0,11.442623,0.262178
saxpy,f32,1393,13,0,0,11.442623,0.262178
saxpy,f32,1393,14,0,0,11.395918,0.263252
saxpy,f32,1393,15,0,0,11.395918,0.263252
saxpy,f32,1393,16,0,0,11.442623,0.262178
saxpy,f32,1393,17,0,0,11.537190,0.260029
saxpy,f32,1393,18,0,0,11.442623,0.262178
saxpy,f32,1393,19,0,0,11.442623,0.262178
saxpy,f32,1941,0,0,0,7.653543,0.391975
saxpy,f32,1941,1,0,0,15.869388,0.189043
saxpy,f32,1941,2,0,0,15.869388,0.189043
saxpy,f32,1941,3,0,0,14.400000,0.208333
saxpy,f32,1941,4,0,0,15.367589,0.195216
saxpy,f32,1941,5,0,0,15.187500,0.197531
saxpy,f32,1941,6,0,0,16.066116,0.186728
saxpy,f32,1941,7,0,0,15.187500,0.197531
saxpy,f32,1941,8,0,0,15.869388,0.189043
saxpy,f32,1941,9,0,0,15.804878,0.189815
saxpy,f32,1941,10,0,0,15.740891,0.190586
saxpy,f32,1941,11,0,0,15.490040,0.193673
saxpy,f32,1941,12,0,0,16.132780,0.185957
saxpy,f32,1941,13,0,0,15.740891,0.190586
saxpy,f32,1941,14,0,0,16.904348,0.177469
saxpy,f32,1941,15,0,0,16.267782,0.184414
saxpy,f32,1941,16,0,0,16.544681,0.181327
saxpy,f32,1941,17,0,0,16.544681,0.181327
saxpy,f32,1941,18,0,0,16.132780,0.185957
saxpy,f32,1941,19,0,0,15.367589,0.195216
saxpy,f32,2704,0,0,0,15.923529,0.188400
saxpy,f32,2704,1,0,0,20.585551,0.145733
saxpy,f32,2704,2,0,0,20.743295,0.144625
saxpy,f32,2704,3,0,0,19.977860,0.150166
saxpy,f32,2704,4,0,0,19.474820,0.154045
saxpy,f32,2704,5,0,0,20.201493,0.148504
saxpy,f32,2704,6,0,0,19.904412,0.150720
saxpy,f32,2704,7,0,0,19.904412,0.150720
saxpy,f32,2704,8,0,0,19.831502,0.151274
saxpy,f32,2704,9,0,0,20.430189,0.146842
saxpy,f32,2704,10,0,0,20.201493,0.148504
saxpy,f32,2704,11,0,0,20.277154,0.147950
saxpy,f32,2704,12,0,0,19.687273,0.152383
saxpy,f32,2704,13,0,0,20.507576,0.146287
saxpy,f32,2704,14,0,0,19.977860,0.150166
saxpy,f32,2704,15,0,0,20.201493,0.148504
saxpy,f32,2704,16,0,0,20.507576,0.146287
saxpy,f32,2704,17,0,0,19.977860,0.150166
saxpy,f32,2704,18,0,0,19.615942,0.152937
saxpy,f32,2704,19,0,0,19.977860,0.150166
saxpy,f32,3767,0,0,0,18.850000,0.159151
saxpy,f32,3767,1,0,0,20.714286,0.144828
saxpy,f32,3767,2,0,0,21.791908,0.137666
saxpy,f32,3767,3,0,0,21.666667,0.138462
saxpy,f32,3767,4,0,0,21.002786,0.142838
saxpy,f32,3767,5,0,0,21.061453,0.142440
saxpy,f32,3767,6,0,0,21.666667,0.138462
saxpy,f32,3767,7,0,0,21.359773,0.140451
saxpy,f32,3767,8,0,0,21.299435,0.140849
saxpy,f32,3767,9,0,0,21.420455,0.140053
saxpy,f32,3767,10,0,0,21.542857,0.139257
saxpy,f32,3767,11,0,0,21.002786,0.142838
saxpy,f32,3767,12,0,0,20.886427,0.143634
saxpy,f32,3767,13,0,0,21.239437,0.141247
saxpy,f32,3767,14,0,0,21.481481,0.139655
saxpy,f32,3767,15,0,0,21.420455,0.140053
saxpy,f32,3767,16,0,0,20.378378,0.147215
saxpy,f32,3767,17,0,0,20.714286,0.144828
saxpy,f32,3767,18,0,0,20.657534,0.145225
