kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,11180000,0,0.005336,4.190112,23.414075,0.477314,0.166667,7196.703314
saxpy,f32,unit,1,0,1,11180000,1,0.005051,4.427147,24.738611,0.451758,0.166667,10394.367489
saxpy,f32,unit,1,0,1,11180000,2,0.005995,3.729914,20.842516,0.536205,0.166667,13592.031487
saxpy,f32,unit,1,0,1,11180000,3,0.005912,3.782382,21.135709,0.528767,0.166667,16789.696723
saxpy,f32,unit,1,0,1,11180000,4,0.004811,4.647619,25.970593,0.430328,0.166667,19987.361404
saxpy,f32,unit,1,0,1,11180000,5,0.005204,4.296594,24.009091,0.465485,0.166667,23185.026010
saxpy,f32,unit,1,0,1,11180000,6,0.004881,4.581339,25.600227,0.436554,0.166667,26382.691062
saxpy,f32,unit,1,0,1,11180000,7,0.004826,4.633018,25.889004,0.431684,0.166667,29580.357585
saxpy,f32,unit,1,0,1,11180000,8,0.004777,4.680339,26.153431,0.427319,0.166667,32778.021650
saxpy,f32,unit,1,0,1,11180000,9,0.004832,4.627106,25.855970,0.432236,0.166667,35975.686040
saxpy,f32,unit,1,0,1,11180000,10,0.009245,2.418491,13.514372,0.826962,0.166667,39173.349441
saxpy,f32,unit,1,0,1,11180000,11,0.004671,4.786883,26.748794,0.417808,0.166667,42371.013427
saxpy,f32,unit,1,0,1,11180000,12,0.006080,3.677448,20.549344,0.543855,0.166667,45568.676999
saxpy,f32,unit,1,0,1,11180000,13,0.004796,4.662165,26.051877,0.428985,0.166667,48766.340397
saxpy,f32,unit,1,0,1,11180000,14,0.007751,2.884623,16.119090,0.693331,0.166667,51964.003974
saxpy,f32,unit,1,0,1,11180000,15,0.005061,4.418390,24.689678,0.452654,0.166667,55161.664454
saxpy,f32,unit,1,0,1,11180000,16,0.006690,3.342250,18.676277,0.598399,0.166667,58359.324970
saxpy,f32,unit,1,0,1,11180000,17,0.007160,3.122911,17.450626,0.640428,0.166667,61556.984164
saxpy,f32,unit,1,0,1,11180000,18,0.005217,4.285918,23.949435,0.466644,0.166667,64754.643830
saxpy,f32,unit,1,0,1,11180000,19,0.005133,4.356527,24.343990,0.459081,0.166667,67952.306202
saxpy,f32,unit,1,0,1,11180000,20,0.004953,4.514059,25.224272,0.443060,0.166667,71149.968426
saxpy,f32,unit,1,0,1,11180000,21,0.007104,3.147332,17.587088,0.635459,0.166667,74347.628372
saxpy,f32,unit,1,0,1,11180000,22,0.005272,4.240879,23.697757,0.471600,0.166667,77545.288495
saxpy,f32,unit,1,0,1,11180000,23,0.004838,4.622088,25.827932,0.432705,0.166667,80742.949368
saxpy,f32,unit,1,0,1,11180000,24,0.004719,4.738119,26.476305,0.422108,0.166667,83940.609527
saxpy,f32,unit,1,0,1,11180000,25,0.005296,4.222263,23.593735,0.473680,0.166667,87138.270538
saxpy,f32,unit,1,0,1,11180000,26,0.006026,3.710325,20.733054,0.539036,0.166667,90335.931257
saxpy,f32,unit,1,0,1,11180000,27,0.005963,3.749856,20.953956,0.533354,0.166667,93533.591989
saxpy,f32,unit,1,0,1,11180000,28,0.005838,3.830234,21.403102,0.522161,0.166667,96731.252708
saxpy,f32,unit,1,0,1,11180000,29,0.006177,3.620090,20.228829,0.552472,0.166667,99928.912995
