kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,2097152,0,0.001630,1.286346,14.376039,0.777396,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,1,0.001311,1.600234,17.884013,0.624908,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,2,0.001233,1.701259,19.013049,0.587800,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,3,0.001362,1.539529,17.205573,0.649549,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,4,0.001420,1.476722,16.503655,0.677176,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,5,0.001224,1.713806,19.153276,0.583497,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,6,0.001314,1.595665,17.832944,0.626698,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,7,0.001216,1.724047,19.267732,0.580030,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,8,0.001172,1.789281,19.996775,0.558884,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,9,0.001212,1.730565,19.340568,0.577846,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,10,0.001731,1.211297,13.537304,0.825561,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,11,0.001612,1.301161,14.541611,0.768544,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,12,0.001505,1.393619,15.574901,0.717556,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,13,0.001243,1.686546,18.848616,0.592928,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,14,0.001372,1.528317,17.080273,0.654315,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,15,0.001604,1.307365,14.610942,0.764897,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,16,0.001681,1.247474,13.941607,0.801620,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,17,0.001696,1.236398,13.817822,0.808801,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,18,0.002304,0.910072,10.170849,1.098814,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,19,0.001763,1.189626,13.295104,0.840600,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,20,0.001991,1.053161,11.769997,0.949522,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,21,0.001875,1.118484,12.500033,0.894067,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,22,0.001624,1.291540,14.434082,0.774270,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,23,0.002833,0.740278,8.273248,1.350844,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,24,0.001725,1.215683,13.586319,0.822583,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,25,0.001529,1.371563,15.328416,0.729095,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,26,0.001508,1.390968,15.545273,0.718924,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,27,0.001563,1.341996,14.997975,0.745159,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,28,0.001409,1.488647,16.636924,0.671751,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,29,0.002294,0.914071,10.215539,1.094007,0.083333,490.483186
