kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
stencil,f32,unit,1,0,1,40960,0,0.000014,8.828220,21.925123,0.339819,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,1,0.000013,9.267667,23.016501,0.323706,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,2,0.000012,9.941748,24.690597,0.301758,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,3,0.000013,9.688559,24.061798,0.309644,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,4,0.000009,14.062715,34.925129,0.213330,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,5,0.000007,16.449799,40.853518,0.182373,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,6,0.000007,16.394930,40.717249,0.182983,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,7,0.000008,16.140812,40.086140,0.185864,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,8,0.000007,16.458612,40.875406,0.182275,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,9,0.000007,16.388370,40.700958,0.183057,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,10,0.000008,16.368723,40.652162,0.183276,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,11,0.000007,16.425612,40.793448,0.182642,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,12,0.000007,16.496174,40.968691,0.181860,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,13,0.000008,15.274083,37.933596,0.196411,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,14,0.000008,15.333167,38.080332,0.195654,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,15,0.000008,14.665235,36.421504,0.204565,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,16,0.000008,15.099533,37.500096,0.198682,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,17,0.000008,14.590359,36.235548,0.205615,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,18,0.000011,11.297233,28.056981,0.265552,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,19,0.000009,13.473684,33.462257,0.222656,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,20,0.000008,14.611177,36.287251,0.205322,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,21,0.000008,16.379632,40.679256,0.183154,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,22,0.000008,16.384000,40.690104,0.183105,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,23,0.000007,16.440995,40.831654,0.182471,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,24,0.000008,16.366542,40.646748,0.183301,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,25,0.000008,16.377449,40.673835,0.183179,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,26,0.000008,16.069047,39.907909,0.186694,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,27,0.000007,16.460817,40.880882,0.182251,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,28,0.000007,16.443196,40.837118,0.182446,0.375000,1993.069472
stencil,f32,unit,1,0,1,40960,29,0.000008,16.275497,40.420633,0.184326,0.375000,1993.069472
