kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,109226,0,0.000145,1.504480,8.406937,1.329363,0.166667,7647.600092
saxpy,f32,unit,1,0,1,109226,1,0.000408,0.536038,2.995344,3.731081,0.166667,11137.624767
saxpy,f32,unit,1,0,1,109226,2,0.000067,3.284548,18.353842,0.608912,0.166667,14627.649472
saxpy,f32,unit,1,0,1,109226,3,0.000083,2.621246,14.647352,0.762996,0.166667,18117.674240
saxpy,f32,unit,1,0,1,109226,4,0.000063,3.479366,19.442473,0.574817,0.166667,21607.699022
saxpy,f32,unit,1,0,1,109226,5,0.000053,4.160594,23.249132,0.480701,0.166667,25097.723658
saxpy,f32,unit,1,0,1,109226,6,0.000052,4.197126,23.453268,0.476517,0.166667,28587.748399
saxpy,f32,unit,1,0,1,109226,7,0.000059,3.685212,20.592727,0.542710,0.166667,32077.773110
saxpy,f32,unit,1,0,1,109226,8,0.000062,3.513559,19.633539,0.569223,0.166667,35567.797797
saxpy,f32,unit,1,0,1,109226,9,0.000052,4.196561,23.450114,0.476581,0.166667,39057.822515
saxpy,f32,unit,1,0,1,109226,10,0.000215,1.016174,5.678315,1.968167,0.166667,42547.847380
saxpy,f32,unit,1,0,1,109226,11,0.000060,3.622873,20.244381,0.552048,0.166667,46037.872227
saxpy,f32,unit,1,0,1,109226,12,0.000056,3.911756,21.858639,0.511279,0.166667,49527.896944
saxpy,f32,unit,1,0,1,109226,13,0.000083,2.644857,14.779293,0.756184,0.166667,53017.921636
saxpy,f32,unit,1,0,1,109226,14,0.000092,2.368428,13.234625,0.844442,0.166667,56507.946230
saxpy,f32,unit,1,0,1,109226,15,0.000099,2.209152,12.344599,0.905325,0.166667,59997.970735
saxpy,f32,unit,1,0,1,109226,16,0.000051,4.309313,24.080162,0.464111,0.166667,63487.995416
saxpy,f32,unit,1,0,1,109226,17,0.000087,2.517308,14.066555,0.794499,0.166667,66978.019870
saxpy,f32,unit,1,0,1,109226,18,0.000092,2.371308,13.250716,0.843416,0.166667,70468.044461
saxpy,f32,unit,1,0,1,109226,19,0.000045,4.882700,27.284213,0.409609,0.166667,73958.069122
saxpy,f32,unit,1,0,1,109226,20,0.000097,2.259583,12.626406,0.885119,0.166667,77448.093717
saxpy,f32,unit,1,0,1,109226,21,0.000047,4.600345,25.706433,0.434750,0.166667,80938.118409
saxpy,f32,unit,1,0,1,109226,22,0.000077,2.839251,15.865553,0.704411,0.166667,84428.143187
saxpy,f32,unit,1,0,1,109226,23,0.000076,2.866899,16.020049,0.697618,0.166667,87918.167960
saxpy,f32,unit,1,0,1,109226,24,0.000061,3.597517,20.102690,0.555939,0.166667,91408.192705
saxpy,f32,unit,1,0,1,109226,25,0.000048,4.505001,25.173654,0.443951,0.166667,94898.217485
saxpy,f32,unit,1,0,1,109226,26,0.000089,2.458744,13.739301,0.813424,0.166667,98388.242342
saxpy,f32,unit,1,0,1,109226,27,0.000078,2.792468,15.604132,0.716212,0.166667,101878.267131
saxpy,f32,unit,1,0,1,109226,28,0.000186,1.176732,6.575501,1.699623,0.166667,105368.291999
saxpy,f32,unit,1,0,1,109226,29,0.000057,3.833298,21.420223,0.521744,0.166667,108858.316739
