kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
stencil,f32,unit,1,0,1,11180000,0,0.009453,3.548201,8.812052,0.845499,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,1,0.008890,3.772648,9.369472,0.795197,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,2,0.008785,3.817729,9.481432,0.785808,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,3,0.009177,3.654686,9.076510,0.820864,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,4,0.009869,3.398621,8.440566,0.882711,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,5,0.009612,3.489295,8.665758,0.859773,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,6,0.010304,3.255024,8.083940,0.921652,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,7,0.009421,3.559975,8.841293,0.842703,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,8,0.008384,4.000276,9.934793,0.749948,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,9,0.008538,3.928350,9.756163,0.763679,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,10,0.008890,3.772851,9.369976,0.795155,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,11,0.009762,3.435896,8.533139,0.873135,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,12,0.009548,3.512748,8.724003,0.854032,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,13,0.010048,3.338112,8.290291,0.898712,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,14,0.007983,4.201343,10.434148,0.714057,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,15,0.010820,3.099906,7.698700,0.967771,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,16,0.010910,3.074311,7.635133,0.975829,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,17,0.010273,3.264968,8.108635,0.918845,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,18,0.009175,3.655704,9.079040,0.820635,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,19,0.008232,4.074474,10.119065,0.736291,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,20,0.007541,4.447840,11.046330,0.674485,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,21,0.011396,2.943226,7.309582,1.019290,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,22,0.008776,3.821837,9.491634,0.784963,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,23,0.008964,3.741536,9.292204,0.801810,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,24,0.008512,3.940343,9.785948,0.761355,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,25,0.012435,2.697237,6.698661,1.112249,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,26,0.013872,2.417886,6.004884,1.240753,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,27,0.015242,2.200541,5.465103,1.363301,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,28,0.013085,2.563227,6.365843,1.170400,0.375000,1598.030315
stencil,f32,unit,1,0,1,11180000,29,0.009351,3.586730,8.907740,0.836416,0.375000,1598.030315
