kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,cpe,arith_intensity,checksum
elemmul,f32,unit,1,0,1,262144,0,0.000220,1.189763,13.296635,0.840504,2.185310,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,1,0.000180,1.456906,16.282193,0.686386,1.784604,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,2,0.000179,1.464467,16.366695,0.682842,1.775390,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,3,0.000180,1.458462,16.299586,0.685654,1.782700,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,4,0.000186,1.410104,15.759142,0.709167,1.843835,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,5,0.000155,1.696374,18.958452,0.589493,1.532681,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,6,0.000235,1.114629,12.456949,0.897160,2.332615,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,7,0.000261,1.002808,11.207251,0.997200,2.592720,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,8,0.000180,1.454231,16.252295,0.687649,1.787887,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,9,0.000212,1.239264,13.849855,0.806931,2.098019,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,10,0.000211,1.242377,13.884643,0.804909,2.092763,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,11,0.000247,1.060140,11.847988,0.943272,2.452506,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,12,0.000211,1.243738,13.899861,0.804028,2.090472,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,13,0.000191,1.373258,15.347356,0.728195,1.893307,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,14,0.000208,1.259648,14.077659,0.793873,2.064069,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,15,0.000301,0.870945,9.733569,1.148178,2.985263,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,16,0.000231,1.133601,12.668974,0.882145,2.293577,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,17,0.000182,1.440280,16.096388,0.694309,1.805204,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,18,0.000182,1.436870,16.058274,0.695957,1.809489,0.083333,484.064464
elemmul,f32,unit,1,0,1,262144,19,0.000292,0.898920,10.046216,1.112446,2.892359,0.083333,484.064464
