kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,cpe,arith_intensity,checksum
saxpy,f32,unit,1,0,1,262144,0,0.000176,2.985746,16.684155,0.669849,1.741608,0.166667,3730.661950
saxpy,f32,unit,1,0,1,262144,1,0.000163,3.212549,17.951517,0.622559,1.618652,0.166667,6087.710593
saxpy,f32,unit,1,0,1,262144,2,0.000162,3.234130,18.072108,0.618404,1.607851,0.166667,8444.759229
saxpy,f32,unit,1,0,1,262144,3,0.000163,3.218920,17.987116,0.621326,1.615449,0.166667,10801.808058
saxpy,f32,unit,1,0,1,262144,4,0.000161,3.252104,18.172549,0.614986,1.598965,0.166667,13158.856752
saxpy,f32,unit,1,0,1,262144,5,0.000158,3.309168,18.491416,0.604382,1.571392,0.166667,15515.905162
saxpy,f32,unit,1,0,1,262144,6,0.000159,3.300730,18.444268,0.605927,1.575409,0.166667,17872.953619
saxpy,f32,unit,1,0,1,262144,7,0.000160,3.284539,18.353793,0.608913,1.583175,0.166667,20230.002089
saxpy,f32,unit,1,0,1,262144,8,0.000188,2.790577,15.593563,0.716698,1.863414,0.166667,22587.050653
saxpy,f32,unit,1,0,1,262144,9,0.000153,3.416870,19.093251,0.585331,1.521861,0.166667,24944.099181
saxpy,f32,unit,1,0,1,262144,10,0.000151,3.474177,19.413475,0.575676,1.496758,0.166667,27301.147942
saxpy,f32,unit,1,0,1,262144,11,0.000150,3.486815,19.484098,0.573589,1.491332,0.166667,29658.196690
saxpy,f32,unit,1,0,1,262144,12,0.000169,3.107776,17.366051,0.643547,1.673222,0.166667,32015.245310
saxpy,f32,unit,1,0,1,262144,13,0.000143,3.665734,20.483887,0.545593,1.418542,0.166667,34372.293827
saxpy,f32,unit,1,0,1,262144,14,0.000142,3.679421,20.560365,0.543564,1.413266,0.166667,36729.342237
saxpy,f32,unit,1,0,1,262144,15,0.000144,3.643470,20.359473,0.548927,1.427211,0.166667,39086.391186
saxpy,f32,unit,1,0,1,262144,16,0.000153,3.425174,19.139653,0.583912,1.518171,0.166667,41443.440074
saxpy,f32,unit,1,0,1,262144,17,0.000253,2.076207,11.601712,0.963295,2.504567,0.166667,43800.488987
saxpy,f32,unit,1,0,1,262144,18,0.000165,3.169761,17.712421,0.630962,1.640502,0.166667,46157.537954
saxpy,f32,unit,1,0,1,262144,19,0.000133,3.951820,22.082517,0.506096,1.315849,0.166667,48514.587343
