kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,cpe,arith_intensity,checksum
stencil,f32,unit,1,0,1,262144,0,0.000189,4.160774,10.333393,0.721020,1.874651,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,1,0.000218,3.602529,8.946977,0.832748,2.165146,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,2,0.000209,3.768837,9.360009,0.796001,2.069604,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,3,0.000170,4.616132,11.464289,0.649895,1.689726,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,4,0.000170,4.622699,11.480597,0.648972,1.687326,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,5,0.000167,4.719630,11.721329,0.635643,1.652672,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,6,0.000168,4.680001,11.622908,0.641026,1.666666,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,7,0.000171,4.608774,11.446014,0.650932,1.692424,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,8,0.000187,4.204260,10.441392,0.713562,1.855261,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,9,0.000169,4.665785,11.587602,0.642979,1.671745,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,10,0.000168,4.683791,11.632322,0.640507,1.665318,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,11,0.000206,3.825375,9.500421,0.784237,2.039016,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,12,0.000224,3.518711,8.738814,0.852585,2.216721,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,13,0.000221,3.556456,8.832554,0.843536,2.193195,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,14,0.000170,4.621395,11.477358,0.649155,1.687802,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,15,0.000184,4.276504,10.620813,0.701508,1.823920,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,16,0.000181,4.346033,10.793489,0.690285,1.794740,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,17,0.000180,4.380114,10.878132,0.684914,1.780775,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,18,0.000152,5.179517,12.863470,0.579205,1.505932,0.375000,1179.507831
stencil,f32,unit,1,0,1,262144,19,0.000242,3.255086,8.084093,0.921635,2.396250,0.375000,1179.507831
