kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,40960,0,0.000044,0.930761,10.402065,1.074390,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,1,0.000042,0.973453,10.879190,1.027271,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,2,0.000079,0.517224,5.780428,1.933398,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,3,0.000037,1.101401,12.309115,0.907935,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,4,0.000039,1.062764,11.877317,0.940942,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,5,0.000040,1.033222,11.547150,0.967847,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,6,0.000038,1.065695,11.910073,0.938354,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,7,0.000035,1.167550,13.048392,0.856494,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,8,0.000036,1.143942,12.784552,0.874170,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,9,0.000028,1.460302,16.320142,0.684790,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,10,0.000027,1.491841,16.672628,0.670312,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,11,0.000028,1.471952,16.450342,0.679370,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,12,0.000029,1.388522,15.517939,0.720190,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,13,0.000028,1.462753,16.347535,0.683643,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,14,0.000028,1.457133,16.284727,0.686279,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,15,0.000037,1.104907,12.348296,0.905054,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,16,0.000029,1.435330,16.041058,0.696704,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,17,0.000029,1.416370,15.829167,0.706030,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,18,0.000028,1.473328,16.465727,0.678735,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,19,0.000028,1.482178,16.564634,0.674683,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,20,0.000030,1.370633,15.318019,0.729590,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,21,0.000028,1.461656,16.335284,0.684155,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,22,0.000028,1.439213,16.084458,0.694824,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,23,0.000029,1.437143,16.061320,0.695825,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,24,0.000027,1.499597,16.759306,0.666846,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,25,0.000029,1.423804,15.912252,0.702344,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,26,0.000028,1.439719,16.090111,0.694580,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,27,0.000027,1.499213,16.755012,0.667017,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,28,0.000029,1.433020,16.015242,0.697827,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,29,0.000029,1.393766,15.576551,0.717480,0.083333,7.022927
