mode,kernel,dtype,access,stride,N,trial,GFLOPs,GiBps,CPE
scalar,saxpy,f32,unit,1,1000,0,1.874414,10.474106,2.774200
scalar,saxpy,f32,unit,1,1000,1,5.882353,32.870209,0.884000
scalar,saxpy,f32,unit,1,1000,2,8.032129,44.883016,0.647400
scalar,saxpy,f32,unit,1,1000,3,8.000000,44.703484,0.650000
scalar,saxpy,f32,unit,1,1000,4,7.751938,43.317329,0.670800
scalar,saxpy,f32,unit,1,1000,5,9.523810,53.218433,0.546000
scalar,saxpy,f32,unit,1,1000,6,9.433962,52.716372,0.551200
scalar,saxpy,f32,unit,1,1000,7,7.722008,43.150081,0.673400
scalar,saxpy,f32,unit,1,1000,8,8.130081,45.430369,0.639600
scalar,saxpy,f32,unit,1,1000,9,8.196721,45.802750,0.634400
scalar,saxpy,f32,unit,1,1000,10,7.782101,43.485879,0.668200
scalar,saxpy,f32,unit,1,1000,11,7.662835,42.819429,0.678600
scalar,saxpy,f32,unit,1,1000,12,8.547009,47.760132,0.608400
scalar,saxpy,f32,unit,1,1000,13,9.174312,51.265463,0.566800
scalar,saxpy,f32,unit,1,1000,14,8.968610,50.116013,0.579800
scalar,saxpy,f32,unit,1,1000,15,9.216590,51.501709,0.564200
scalar,saxpy,f32,unit,1,1000,16,7.434944,41.545988,0.699400
scalar,saxpy,f32,unit,1,1000,17,7.067138,39.490710,0.735800
scalar,saxpy,f32,unit,1,1000,18,7.272727,40.639531,0.715000
scalar,saxpy,f32,unit,1,1000,19,8.064516,45.063996,0.644800
scalar,saxpy,f32,strided,2,1000,0,0.669568,3.741503,7.766200
scalar,saxpy,f32,strided,2,1000,1,2.538071,14.182577,2.048800
scalar,saxpy,f32,strided,2,1000,2,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,3,2.531646,14.146672,2.054000
scalar,saxpy,f32,strided,2,1000,4,2.534854,14.164602,2.051400
scalar,saxpy,f32,strided,2,1000,5,2.538071,14.182577,2.048800
scalar,saxpy,f32,strided,2,1000,6,2.538071,14.182577,2.048800
scalar,saxpy,f32,strided,2,1000,7,2.538071,14.182577,2.048800
scalar,saxpy,f32,strided,2,1000,8,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,9,2.538071,14.182577,2.048800
scalar,saxpy,f32,strided,2,1000,10,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,11,2.541296,14.200598,2.046200
scalar,saxpy,f32,strided,2,1000,12,2.541296,14.200598,2.046200
scalar,saxpy,f32,strided,2,1000,13,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,14,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,15,2.544529,14.218665,2.043600
scalar,saxpy,f32,strided,2,1000,16,2.547771,14.236778,2.041000
scalar,saxpy,f32,strided,2,1000,17,2.551020,14.254937,2.038400
