mode,kernel,dtype,access,stride,N,trial,GFLOPs,GiBps,CPE
scalar,saxpy,f32,unit,1,1000,0,1.290323,7.210239,4.030000
scalar,saxpy,f32,unit,1,1000,1,2.254791,12.599629,2.306200
scalar,saxpy,f32,unit,1,1000,2,1.188354,6.640446,4.375800
scalar,saxpy,f32,unit,1,1000,3,1.612903,9.012799,3.224000
scalar,saxpy,f32,unit,1,1000,4,2.136752,11.940033,2.433600
scalar,saxpy,f32,unit,1,1000,5,2.222222,12.417634,2.340000
scalar,saxpy,f32,unit,1,1000,6,1.845018,10.309844,2.818400
scalar,saxpy,f32,unit,1,1000,7,1.795332,10.032200,2.896400
scalar,saxpy,f32,unit,1,1000,8,1.221747,6.827044,4.256200
scalar,saxpy,f32,unit,1,1000,9,1.315789,7.352547,3.952000
scalar,saxpy,f32,unit,1,1000,10,1.936108,10.818849,2.685800
scalar,saxpy,f32,unit,1,1000,11,1.788909,9.996307,2.906800
scalar,saxpy,f32,unit,1,1000,12,1.084599,6.060668,4.794400
scalar,saxpy,f32,unit,1,1000,13,1.628664,9.100872,3.192800
scalar,saxpy,f32,unit,1,1000,14,1.518603,8.485855,3.424200
scalar,saxpy,f32,unit,1,1000,15,1.327140,7.415973,3.918200
scalar,saxpy,f32,unit,1,1000,16,1.792115,10.014221,2.901600
scalar,saxpy,f32,unit,1,1000,17,1.035197,5.784612,5.023200
scalar,saxpy,f32,unit,1,1000,18,1.555210,8.690413,3.343600
scalar,saxpy,f32,unit,1,1000,19,1.046025,5.845121,4.971200
scalar,saxpy,f32,strided,2,1000,0,2.663116,14.881319,1.952600
scalar,saxpy,f32,strided,2,1000,1,4.219409,23.577787,1.232400
scalar,saxpy,f32,strided,2,1000,2,3.846154,21.492059,1.352000
scalar,saxpy,f32,strided,2,1000,3,3.527337,19.710531,1.474200
scalar,saxpy,f32,strided,2,1000,4,3.669725,20.506185,1.417000
scalar,saxpy,f32,strided,2,1000,5,3.921569,21.913472,1.326000
scalar,saxpy,f32,strided,2,1000,6,3.289474,18.381367,1.580800
scalar,saxpy,f32,strided,2,1000,7,3.636364,20.319765,1.430000
scalar,saxpy,f32,strided,2,1000,8,3.577818,19.992613,1.453400
scalar,saxpy,f32,strided,2,1000,9,2.816901,15.740663,1.846000
scalar,saxpy,f32,strided,2,1000,10,3.367003,18.814597,1.544400
scalar,saxpy,f32,strided,2,1000,11,2.873563,16.057286,1.809600
scalar,saxpy,f32,strided,2,1000,12,3.236246,18.083933,1.606800
scalar,saxpy,f32,strided,2,1000,13,3.236246,18.083933,1.606800
scalar,saxpy,f32,strided,2,1000,14,3.780718,21.126410,1.375400
scalar,saxpy,f32,strided,2,1000,15,4.210526,23.528149,1.235000
scalar,saxpy,f32,strided,2,1000,16,3.189793,17.824355,1.630200
scalar,saxpy,f32,strided,2,1000,17,3.597122,20.100487,1.445600
scalar,saxpy,f32,strided,2,1000,18,3.710575,20.734454,1.401400
