mode,kernel,dtype,access,stride,N,trial,GFLOPs,GiBps,CPE
simd,saxpy,f32,unit,1,1000,0,6.802721,38.013166,0.764400
simd,saxpy,f32,unit,1,1000,1,17.094017,95.520264,0.304200
simd,saxpy,f32,unit,1,1000,2,18.691589,104.447392,0.278200
simd,saxpy,f32,unit,1,1000,3,23.255814,129.951987,0.223600
simd,saxpy,f32,unit,1,1000,4,24.096386,134.649047,0.215800
simd,saxpy,f32,unit,1,1000,5,23.255814,129.951987,0.223600
simd,saxpy,f32,unit,1,1000,6,23.809524,133.046082,0.218400
simd,saxpy,f32,unit,1,1000,7,22.988506,128.458286,0.226200
simd,saxpy,f32,unit,1,1000,8,24.096386,134.649047,0.215800
simd,saxpy,f32,unit,1,1000,9,22.727273,126.998533,0.228800
simd,saxpy,f32,unit,1,1000,10,23.809524,133.046082,0.218400
simd,saxpy,f32,unit,1,1000,11,24.390244,136.291108,0.213200
simd,saxpy,f32,unit,1,1000,12,24.390244,136.291108,0.213200
simd,saxpy,f32,unit,1,1000,13,23.809524,133.046082,0.218400
simd,saxpy,f32,unit,1,1000,14,24.096386,134.649047,0.215800
simd,saxpy,f32,unit,1,1000,15,25.316456,141.466720,0.205400
simd,saxpy,f32,unit,1,1000,16,24.096386,134.649047,0.215800
simd,saxpy,f32,unit,1,1000,17,23.529412,131.480834,0.221000
simd,saxpy,f32,unit,1,1000,18,24.390244,136.291108,0.213200
simd,saxpy,f32,unit,1,1000,19,24.390244,136.291108,0.213200
simd,saxpy,f32,strided,2,1000,0,3.514938,19.641249,1.479400
simd,saxpy,f32,strided,2,1000,1,4.784689,26.736533,1.086800
simd,saxpy,f32,strided,2,1000,2,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,3,4.807692,26.865074,1.081600
simd,saxpy,f32,strided,2,1000,4,4.773270,26.672723,1.089400
simd,saxpy,f32,strided,2,1000,5,4.807692,26.865074,1.081600
simd,saxpy,f32,strided,2,1000,6,4.773270,26.672723,1.089400
simd,saxpy,f32,strided,2,1000,7,4.784689,26.736533,1.086800
simd,saxpy,f32,strided,2,1000,8,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,9,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,10,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,11,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,12,4.807692,26.865074,1.081600
simd,saxpy,f32,strided,2,1000,13,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,14,4.807692,26.865074,1.081600
simd,saxpy,f32,strided,2,1000,15,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,2,1000,16,4.819277,26.929809,1.079000
simd,saxpy,f32,strided,2,1000,17,4.807692,26.865074,1.081600
simd,saxpy,f32,strided,2,1000,18,4.819277,26.929809,1.079000
simd,saxpy,f32,strided,2,1000,19,4.796163,26.800650,1.084200
simd,saxpy,f32,strided,4,1000,0,7.751938,43.317329,0.670800
simd,saxpy,f32,strided,4,1000,1,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,2,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,3,8.928571,49.892281,0.582400
simd,saxpy,f32,strided,4,1000,4,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,5,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,6,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,7,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,8,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,9,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,10,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,11,9.049774,50.569552,0.574600
simd,saxpy,f32,strided,4,1000,12,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,13,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,14,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,15,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,16,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,17,9.009009,50.341761,0.577200
simd,saxpy,f32,strided,4,1000,18,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,4,1000,19,8.968610,50.116013,0.579800
simd,saxpy,f32,strided,8,1000,0,11.494253,64.229143,0.452400
simd,saxpy,f32,strided,8,1000,1,16.000000,89.406967,0.325000
simd,saxpy,f32,strided,8,1000,2,15.625000,87.311491,0.332800
simd,saxpy,f32,strided,8,1000,3,15.625000,87.311491,0.332800
simd,saxpy,f32,strided,8,1000,4,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,5,15.873016,88.697388,0.327600
simd,saxpy,f32,strided,8,1000,6,15.625000,87.311491,0.332800
simd,saxpy,f32,strided,8,1000,7,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,8,15.873016,88.697388,0.327600
simd,saxpy,f32,strided,8,1000,9,16.000000,89.406967,0.325000
simd,saxpy,f32,strided,8,1000,10,15.873016,88.697388,0.327600
simd,saxpy,f32,strided,8,1000,11,15.625000,87.311491,0.332800
simd,saxpy,f32,strided,8,1000,12,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,13,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,14,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,15,15.873016,88.697388,0.327600
simd,saxpy,f32,strided,8,1000,16,15.748031,87.998983,0.330200
simd,saxpy,f32,strided,8,1000,17,15.873016,88.697388,0.327600
simd,saxpy,f32,strided,8,1000,18,16.000000,89.406967,0.325000
simd,saxpy,f32,strided,8,1000,19,16.000000,89.406967,0.325000
simd,saxpy,f32,strided,16,1000,0,29.411765,164.351043,0.176800
simd,saxpy,f32,strided,16,1000,1,38.461538,214.920594,0.135200
simd,saxpy,f32,strided,16,1000,2,38.461538,214.920594,0.135200
simd,saxpy,f32,strided,16,1000,3,37.735849,210.865489,0.137800
simd,saxpy,f32,strided,16,1000,4,37.037037,206.960572,0.140400
simd,saxpy,f32,strided,16,1000,5,37.037037,206.960572,0.140400
simd,saxpy,f32,strided,16,1000,6,37.735849,210.865489,0.137800
simd,saxpy,f32,strided,16,1000,7,37.735849,210.865489,0.137800
simd,saxpy,f32,strided,16,1000,8,37.735849,210.865489,0.137800
simd,saxpy,f32,strided,16,1000,9,37.735849,210.865489,0.137800
simd,saxpy,f32,strided,16,1000,10,40.000000,223.517418,0.130000
