mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
SIMD,elemmul,f32,1000,0,0,16.24868663157894,0.21671815789473686,19.0
SIMD,elemmul,f32,1000,0,1,17.264850315789477,0.2031842105263158,19.0
SIMD,elemmul,f32,1000,1,0,12.652907333333332,0.2776116111111111,18.0
SIMD,elemmul,f32,1000,1,1,10.151684111111113,0.34494444444444444,18.0
SIMD,elemmul,f32,1393,0,0,19.412040105263156,0.1806476842105263,19.0
SIMD,elemmul,f32,1393,0,1,15.037796666666667,0.2343662777777778,18.0
SIMD,elemmul,f32,1393,1,0,13.83651547368421,0.25309147368421053,19.0
SIMD,elemmul,f32,1393,1,1,12.932448631578946,0.27069568421052637,19.0
SIMD,elemmul,f32,1941,0,0,18.381585444444447,0.22695205555555553,18.0
SIMD,elemmul,f32,1941,0,1,18.367634157894738,0.19066389473684212,19.0
SIMD,elemmul,f32,1941,1,0,15.243634750000004,0.22964235000000005,20.0
SIMD,elemmul,f32,1941,1,1,14.309497388888891,0.24493372222222223,18.0
SIMD,elemmul,f32,2704,0,0,22.83383188888889,0.15350105555555552,18.0
SIMD,elemmul,f32,2704,0,1,29.573032,0.12078605263157896,19.0
SIMD,elemmul,f32,2704,1,0,16.91102766666667,0.2085232777777778,18.0
SIMD,elemmul,f32,2704,1,1,14.034241222222224,0.2495273888888889,18.0
SIMD,elemmul,f32,3767,0,0,24.932415578947367,0.14057673684210528,19.0
SIMD,elemmul,f32,3767,0,1,32.750283,0.10694694736842104,19.0
SIMD,elemmul,f32,3767,1,0,17.46491238888889,0.2004274444444444,18.0
SIMD,elemmul,f32,3767,1,1,17.045255944444445,0.21813705555555557,18.0
SIMD,elemmul,f32,5248,0,0,14.0712115,0.24880455555555553,18.0
SIMD,elemmul,f32,5248,0,1,15.139905315789472,0.2314213157894737,19.0
SIMD,elemmul,f32,5248,1,0,10.828816111111111,0.32327177777777777,18.0
