run,pages,ns_per_access
1,Pages,Time_per_access(ns)
1,16,1.18938
1,32,0.687187
1,64,0.532031
1,128,0.614375
1,256,2.34613
1,512,1.81459
1,1024,2.13768
1,2048,6.04879
1,4096,5.20444
1,8192,8.98457
1,16384,14.9115
1,32768,16.5048
1,65536,17.7573
2,Pages,Time_per_access(ns)
2,16,1.195
2,32,1.36813
2,64,1.23531
2,128,0.6725
2,256,0.935391
2,512,3.84941
2,1024,2.53136
2,2048,2.29728
2,4096,3.43859
2,8192,9.66379
2,16384,15.4016
2,32768,24.7432
2,65536,18.915
3,Pages,Time_per_access(ns)
3,16,1.04875
3,32,1.16562
3,64,0.722344
3,128,0.597578
3,256,2.06332
3,512,1.78502
3,1024,2.23561
3,2048,2.21165
3,4096,3.60599
3,8192,8.2098
3,16384,15.6011
3,32768,20.6409
3,65536,20.9968
4,Pages,Time_per_access(ns)
4,16,1.34062
4,32,1.16625
4,64,1.08266
4,128,0.645781
4,256,0.574258
4,512,1.81453
4,1024,1.95121
4,2048,2.05185
4,4096,3.62395
4,8192,6.35901
4,16384,11.6834
4,32768,13.8179
4,65536,16.8631
5,Pages,Time_per_access(ns)
5,16,1.23063
5,32,0.60875
5,64,0.715313
5,128,0.710703
5,256,0.70832
5,512,3.93639
5,1024,4.88374
5,2048,5.31415
5,4096,3.65205
5,8192,9.2722
5,16384,14.5317
5,32768,17.3906
5,65536,18.7972
