rw_mix,size,latency_ns,bandwidth_MBps
allreads,1,1.64,652406.2
allreads,1,1.52,582763.3
allreads,1,1.55,431254.7
allreads,1,1.63,321346.4
allreads,1,1.33,169265.9
allreads,1,1.54,111791.8
allreads,1,1.68,82174.9
allreads,1,1.43,74528.8
allreads,1,1.45,68973.3
allreads,1,1.50,63341.3
allreads,1,1.80,50782.2
allreads,1,1.58,51241.7
allreads,1,1.57,48938.4
allreads,1,1.62,45843.8
allreads,1,1.57,45070.4
allreads,1,1.53,45094.3
allreads,1,1.62,41651.9
allreads,1,1.50,43759.3
allreads,1,1.44,44833.7
allreads,2,1.64,852888.3
allreads,2,1.74,745078.8
allreads,2,1.66,500120.5
allreads,2,1.62,337910.6
allreads,2,1.47,157333.8
allreads,2,1.66,109168.2
allreads,2,1.52,86816.5
allreads,2,1.42,76814.3
allreads,2,1.55,66023.8
allreads,2,1.53,61421.9
allreads,2,1.47,58164.9
allreads,2,1.56,51428.7
allreads,2,1.74,44809.6
allreads,2,1.46,49934.9
allreads,2,1.52,46334.4
allreads,2,1.52,45266.2
allreads,2,1.45,46208.3
allreads,2,1.60,41248.4
allreads,2,1.47,44202.8
allreads,4,1.74,896296.2
allreads,4,1.85,781234.4
allreads,4,1.90,651454.5
allreads,4,1.63,343186.6
allreads,4,1.45,169426.2
allreads,4,1.37,121649.1
allreads,4,1.61,85719.3
allreads,4,1.45,76610.0
allreads,4,1.60,65341.2
allreads,4,1.37,65943.3
allreads,4,1.82,50242.4
allreads,4,1.40,56224.3
allreads,4,1.60,48365.1
allreads,4,1.68,44503.2
allreads,4,1.57,45006.4
allreads,4,1.55,44535.0
allreads,4,1.46,45875.7
allreads,4,1.63,40476.2
allreads,4,1.64,39649.3
allreads,8,1.69,1024504.4
allreads,8,1.65,980217.9
allreads,8,1.69,725573.0
allreads,8,1.66,359454.5
allreads,8,1.49,170642.8
allreads,8,1.57,116218.1
allreads,8,1.69,78240.1
allreads,8,1.65,70428.7
allreads,8,1.53,65660.9
allreads,8,1.49,62177.1
allreads,8,1.45,58966.5
allreads,8,1.45,54751.6
allreads,8,1.56,49431.0
allreads,8,1.60,46509.3
allreads,8,1.56,45265.3
