pattern,size,latency_ns,bandwidth_MBps
seq,1,1.07,1037842.7
seq,1,1.09,900522.2
seq,1,1.10,639073.7
seq,1,1.06,506391.1
seq,1,1.02,251689.4
seq,1,1.01,162033.4
seq,1,1.05,120865.5
seq,1,1.04,104003.6
seq,1,1.03,95207.0
seq,1,1.11,83610.8
seq,1,1.06,79877.2
seq,1,1.10,71858.6
seq,1,1.06,71286.1
seq,1,1.09,67157.0
seq,1,1.13,61948.3
seq,1,1.09,62718.8
seq,1,1.10,60928.4
seq,1,1.12,58481.8
seq,1,1.09,59331.7
rand,1,1.30,49056.7
rand,1,1.27,50573.2
rand,1,1.26,50905.9
rand,1,1.26,50595.1
rand,1,1.32,48524.8
rand,1,1.34,47753.4
rand,1,1.30,49320.6
rand,1,1.29,49765.6
rand,1,1.29,49621.9
rand,1,1.42,45077.2
rand,1,1.32,48597.3
rand,1,1.33,48224.4
rand,1,1.32,48514.0
rand,1,1.23,52052.9
rand,1,1.31,48728.4
rand,1,1.35,47437.7
rand,1,1.37,46623.9
rand,1,1.33,47951.8
rand,1,1.33,48213.8
seq,2,1.34,1120565.7
seq,2,1.30,948387.1
seq,2,1.25,672669.0
seq,2,1.19,456960.2
seq,2,1.22,221654.1
seq,2,1.21,141361.5
seq,2,1.17,106543.8
seq,2,1.21,89231.3
seq,2,1.23,80241.9
seq,2,1.22,76224.6
seq,2,1.18,71338.6
seq,2,1.37,58076.8
seq,2,1.21,62352.5
seq,2,1.24,59043.9
seq,2,1.20,58743.0
seq,2,1.24,55229.7
seq,2,1.23,54682.1
seq,2,1.17,55990.0
seq,2,1.15,56494.0
rand,2,1.31,48809.5
rand,2,1.32,48488.7
rand,2,1.30,49396.9
rand,2,1.32,48404.7
rand,2,1.38,46506.2
rand,2,1.28,50030.8
rand,2,1.31,48793.7
rand,2,1.33,48042.8
rand,2,1.35,47571.7
rand,2,1.40,45714.7
rand,2,1.41,45369.9
rand,2,1.34,47769.8
rand,2,1.43,44738.5
rand,2,1.40,45832.2
rand,2,1.45,44079.9
rand,2,1.52,42079.8
rand,2,1.32,48406.3
rand,2,1.52,42165.8
rand,2,1.35,47565.2
seq,4,1.46,1206987.6
seq,4,1.43,1058754.3
seq,4,1.31,799212.0
seq,4,1.32,471605.0
seq,4,1.23,229561.2
seq,4,1.25,140069.2
seq,4,1.21,105471.2
seq,4,1.23,89288.9
seq,4,1.19,83327.4
seq,4,1.20,77118.9
seq,4,1.22,69584.2
seq,4,1.17,67212.5
seq,4,1.14,65875.4
seq,4,1.19,61271.9
seq,4,1.15,60760.9
seq,4,1.17,58709.0
seq,4,1.12,60076.3
seq,4,1.22,53963.1
seq,4,1.14,56849.9
rand,4,1.30,49415.3
rand,4,1.33,48080.2
rand,4,1.34,47810.0
rand,4,1.34,47738.2
rand,4,1.37,46835.4
rand,4,1.41,45333.4
rand,4,1.45,44035.8
rand,4,1.28,49906.6
rand,4,1.33,47964.5
rand,4,1.35,47513.6
rand,4,1.32,48570.4
rand,4,1.31,48780.3
rand,4,1.32,48420.2
rand,4,1.33,48196.4
rand,4,1.33,47990.3
rand,4,1.31,49022.3
rand,4,1.28,49911.3
rand,4,1.31,48942.9
rand,4,1.33,48023.7
seq,8,1.24,1414255.8
seq,8,1.26,1244830.2
seq,8,1.32,927217.8
seq,8,1.15,509607.8
seq,8,1.19,236097.5
seq,8,1.20,144832.1
seq,8,1.19,108246.3
seq,8,1.18,92435.5
seq,8,1.19,83357.0
seq,8,1.15,80130.0
seq,8,1.21,70410.8
seq,8,1.17,67259.6
seq,8,1.15,65468.6
seq,8,1.19,61402.7
seq,8,1.24,56711.1
seq,8,1.34,51324.9
seq,8,1.18,56853.1
seq,8,1.20,54918.5
seq,8,1.18,54838.3
rand,8,1.32,48365.6
rand,8,1.32,48445.0
rand,8,1.26,50687.4
rand,8,1.29,49798.9
rand,8,1.37,46881.8
rand,8,1.24,51504.0
rand,8,1.36,47213.1
rand,8,1.35,47400.4
rand,8,1.34,47810.4
rand,8,1.30,49102.3
rand,8,1.33,48011.7
rand,8,1.27,50304.2
rand,8,1.35,47391.9
rand,8,1.29,49513.6
rand,8,1.33,48102.3
rand,8,1.33,48031.3
rand,8,1.39,46029.8
rand,8,1.36,47081.2
rand,8,1.34,47799.0
seq,16,1.33,1423893.2
seq,16,1.32,1333872.0
seq,16,1.35,960226.2
seq,16,1.25,516423.5
seq,16,1.17,239346.5
seq,16,1.21,145043.6
seq,16,1.19,107724.8
seq,16,1.15,93835.4
seq,16,1.21,82421.1
seq,16,1.18,78347.4
seq,16,1.19,71340.2
seq,16,1.21,65455.7
seq,16,1.16,65277.2
seq,16,1.16,62973.7
seq,16,1.18,59624.1
seq,16,1.19,57459.6
seq,16,1.18,56741.8
seq,16,1.21,54448.5
seq,16,1.24,52049.9
rand,16,1.39,46128.2
rand,16,1.40,45681.5
rand,16,1.35,47528.8
rand,16,1.33,48123.4
rand,16,1.37,46557.8
rand,16,1.38,46411.3
rand,16,1.35,47392.0
rand,16,1.42,44933.0
rand,16,1.35,47534.6
rand,16,1.42,45118.3
rand,16,1.37,46698.6
rand,16,1.34,47635.7
rand,16,1.29,49555.7
rand,16,1.38,46225.1
rand,16,1.38,46433.1
rand,16,1.35,47528.5
rand,16,1.35,47246.1
rand,16,1.40,45728.3
rand,16,1.54,41590.7
seq,32,2.20,1089085.0
seq,32,2.14,1017101.8
seq,32,2.22,817769.7
seq,32,1.68,473574.8
seq,32,1.21,234551.2
seq,32,1.27,140579.0
seq,32,1.26,103561.5
seq,32,1.33,83062.0
seq,32,1.38,73208.3
seq,32,1.19,77442.7
seq,32,1.24,68897.7
seq,32,1.19,66391.6
seq,32,1.22,62131.8
seq,32,1.21,60622.9
seq,32,1.17,59955.5
seq,32,1.25,54684.0
seq,32,1.37,49277.9
seq,32,1.38,47914.3
seq,32,1.16,55680.7
rand,32,1.40,45854.7
rand,32,1.38,46280.6
rand,32,1.39,46194.4
rand,32,1.41,45433.2
rand,32,1.34,47733.7
rand,32,1.31,48750.2
rand,32,1.43,44889.5
rand,32,1.38,46343.9
rand,32,1.40,45628.3
rand,32,1.42,45090.2
rand,32,1.36,46916.0
rand,32,1.38,46506.0
rand,32,1.37,46666.1
rand,32,1.35,47304.5
rand,32,1.33,48062.2
rand,32,1.40,45699.7
rand,32,1.41,45310.9
rand,32,1.36,47037.6
rand,32,1.34,47628.7
seq,64,4.76,819768.2
seq,64,5.41,776940.3
seq,64,5.53,678730.2
seq,64,4.97,389670.9
seq,64,4.74,180932.8
seq,64,4.85,103341.0
seq,64,4.72,67302.1
seq,64,4.82,50838.2
seq,64,4.74,42795.4
seq,64,4.86,36960.3
