scenario,thread,run,iters,runtime_seconds
S1_single,1,1704000000,,5.000207
S2_thread0,1,1657000000,,5.001451
S2_thread1,1,1679000000,,5.000322
S3_thread0,1,1658000000,,5.002299
S3_thread1,1,1674000000,,5.002606
S1_single,2,1686000000,,5.001192
S2_thread1,2,1663000000,,5.001650
S2_thread0,2,1655000000,,5.001770
S3_thread0,2,1652000000,,5.001192
S3_thread1,2,1650000000,,5.000011
S1_single,3,1631000000,,5.002821
S2_thread0,3,1659000000,,5.002511
S2_thread1,3,1653000000,,5.001248
S3_thread0,3,1661000000,,5.000278
S3_thread1,3,1668000000,,5.001413
S1_single,4,1672000000,,5.002813
S2_thread0,4,1659000000,,5.000451
S2_thread1,4,1654000000,,5.000338
S3_thread0,4,1669000000,,5.001938
S3_thread1,4,1669000000,,5.002556
S1_single,5,1701000000,,5.000424
S2_thread1,5,1667000000,,5.002914
S2_thread0,5,1659000000,,5.002676
S3_thread0,5,1678000000,,5.001644
S3_thread1,5,1677000000,,5.002094
