kernel,variant,layoutB,pattern,m,k,n,density,threads,tileM,tileN,tileK,jblock,seed,run,seconds,gflops,nnz,cpnz,ai,bytes_est,bandwidth_GBps,p50_us,p95_us,p99_us,conv_seconds,freq_mhz,cycles_est,perf_task_clock_ms,perf_context_switches,perf_cpu_migrations,perf_page_faults
stream,scalar,row,uniform,1,1,1,1,1,0,0,0,0,123,0,0,0,0,0,0,0,31.9361,0,0,0,0,2400,0,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,1,0.162681,44.5518,0,0,192,3.77487e+07,0.232041,162681,164897,165847,0,2400,3.90435e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,1,0.197657,36.6683,0,0,192,3.77487e+07,0.190981,197657,205778,207517,0,2400,4.74378e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,2,0.164484,44.0636,0,0,192,3.77487e+07,0.229498,164484,171639,173728,0,2400,3.94761e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,2,0.198411,36.529,0,0,192,3.77487e+07,0.190255,198411,204536,205824,0,2400,4.76187e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,3,0.169796,42.685,0,0,192,3.77487e+07,0.222318,169796,177269,177436,0,2400,4.07511e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,1,64,128,64,128,100,3,0.205752,35.2256,0,0,192,3.77487e+07,0.183467,205752,229598,240022,0,2400,4.93806e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,1,0.0907685,79.8488,0,0,192,3.77487e+07,0.415879,90768.5,96644.5,97157,0,2400,2.17844e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,1,0.118695,61.062,0,0,192,3.77487e+07,0.318031,118695,141372,142318,0,2400,2.84868e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,2,0.0996628,72.7228,0,0,192,3.77487e+07,0.378765,99662.8,105689,107226,0,2400,2.39191e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,2,0.1183,61.266,0,0,192,3.77487e+07,0.319094,118300,141282,145705,0,2400,2.83919e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,3,0.103904,69.7547,0,0,192,3.77487e+07,0.363306,103904,127056,130663,0,2400,2.49368e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,2,64,128,64,128,100,3,0.121564,59.6209,0,0,192,3.77487e+07,0.310525,121564,153590,161583,0,2400,2.91754e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,1,0.0543326,133.396,0,0,192,3.77487e+07,0.694771,54332.6,64992.8,68217.8,0,2400,1.30398e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,1,0.0626333,115.717,0,0,192,3.77487e+07,0.602694,62633.3,89942.3,94878.6,0,2400,1.5032e+08,0,0,0,0
