run_id,impl,mode,keys,threads,ops,prefill,seconds,throughput
1,coarse,lookup,10000,1,2000000,10000,0.044360,45085857.90
2,coarse,lookup,10000,1,2000000,10000,0.046026,43453674.59
3,coarse,lookup,10000,1,2000000,10000,0.057647,34693964.71
4,coarse,lookup,10000,1,2000000,10000,0.045748,43718226.41
5,coarse,lookup,10000,1,2000000,10000,0.042552,47001401.09
6,coarse,lookup,10000,2,2000000,10000,0.202894,9857351.36
7,coarse,lookup,10000,2,2000000,10000,0.183860,10877849.47
8,coarse,lookup,10000,2,2000000,10000,0.177873,11243960.50
9,coarse,lookup,10000,2,2000000,10000,0.181291,11031994.12
10,coarse,lookup,10000,2,2000000,10000,0.186409,10729091.21
11,coarse,lookup,10000,4,2000000,10000,0.193267,10348400.00
12,coarse,lookup,10000,4,2000000,10000,0.174103,11487422.87
13,coarse,lookup,10000,4,2000000,10000,0.174848,11438488.60
14,coarse,lookup,10000,4,2000000,10000,0.182308,10970445.14
15,coarse,lookup,10000,4,2000000,10000,0.168116,11896533.54
16,coarse,lookup,10000,8,2000000,10000,0.335107,5968243.82
17,coarse,lookup,10000,8,2000000,10000,0.246534,8112470.31
18,coarse,lookup,10000,8,2000000,10000,0.251520,7951661.09
19,coarse,lookup,10000,8,2000000,10000,0.261846,7638064.98
20,coarse,lookup,10000,8,2000000,10000,0.220914,9053309.99
21,coarse,lookup,10000,16,2000000,10000,0.359876,5557475.42
22,coarse,lookup,10000,16,2000000,10000,0.285736,6999474.80
23,coarse,lookup,10000,16,2000000,10000,0.287060,6967180.51
24,coarse,lookup,10000,16,2000000,10000,0.319013,6269342.69
25,coarse,lookup,10000,16,2000000,10000,0.345447,5789604.42
26,fine,lookup,10000,1,2000000,10000,0.040961,48827183.26
27,fine,lookup,10000,1,2000000,10000,0.052489,38102954.49
28,fine,lookup,10000,1,2000000,10000,0.051281,39000693.80
29,fine,lookup,10000,1,2000000,10000,0.046505,43006470.54
30,fine,lookup,10000,1,2000000,10000,0.047585,42029960.51
31,fine,lookup,10000,2,2000000,10000,0.035964,55610777.06
32,fine,lookup,10000,2,2000000,10000,0.036066,55453624.09
33,fine,lookup,10000,2,2000000,10000,0.039858,50177553.27
34,fine,lookup,10000,2,2000000,10000,0.040526,49350929.18
35,fine,lookup,10000,2,2000000,10000,0.034669,57688948.98
36,fine,lookup,10000,4,2000000,10000,0.027131,73715068.04
37,fine,lookup,10000,4,2000000,10000,0.027875,71749846.74
38,fine,lookup,10000,4,2000000,10000,0.025422,78671468.62
39,fine,lookup,10000,4,2000000,10000,0.031750,62993102.13
40,fine,lookup,10000,4,2000000,10000,0.031703,63086473.54
41,fine,lookup,10000,8,2000000,10000,0.022903,87323035.50
42,fine,lookup,10000,8,2000000,10000,0.055031,36343308.56
43,fine,lookup,10000,8,2000000,10000,0.039178,51048652.91
44,fine,lookup,10000,8,2000000,10000,0.033842,59098425.74
45,fine,lookup,10000,8,2000000,10000,0.022445,89108313.16
46,fine,lookup,10000,16,2000000,10000,0.023842,83883915.90
47,fine,lookup,10000,16,2000000,10000,0.013544,147664116.11
48,fine,lookup,10000,16,2000000,10000,0.029719,67297527.15
49,fine,lookup,10000,16,2000000,10000,0.035824,55829255.38
50,fine,lookup,10000,16,2000000,10000,0.013486,148298940.71
51,coarse,insert,10000,1,2000000,0,0.194211,10298062.43
